State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total minutes,Total calls,Total charge,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
TX,128,415,0,1,40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14.0,6,3.78,1,0,527.7,296,54.120000000000005,5,6,5,5,7,5,5,5,5,7,7,5,5,5,6
UT,190,415,0,1,22,166.5,93,28.31,183.0,92,15.56,121.0,102,5.44,8.5,3,2.3,0,0,479.0,290,51.60999999999999,5,6,5,6,6,6,3,5,3,5,5,4,5,4,8
NY,59,408,0,0,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,0,551.8,333,49.199999999999996,4,7,4,6,8,6,6,5,6,5,5,5,7,4,3
AL,47,408,0,1,28,141.3,94,24.02,168.0,108,14.28,113.5,84,5.11,7.8,2,2.11,1,0,430.6,288,45.519999999999996,5,6,5,5,7,5,3,4,3,4,4,3,5,4,2
MN,152,415,1,1,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1,770.3,297,77.67999999999999,7,8,7,7,6,7,7,4,7,8,8,9,5,8,7
RI,95,510,0,1,27,129.5,106,22.02,248.9,90,21.16,268.0,115,12.06,11.9,3,3.21,1,0,658.3,314,58.45,4,7,4,7,6,7,7,6,7,6,6,7,6,5,4
CT,31,415,0,1,31,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,3,1.59,0,0,607.3,285,51.03,3,4,3,7,6,7,7,7,7,3,3,6,5,4,2
OK,121,408,0,1,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,0,649.5,270,69.37,7,4,7,6,7,6,5,4,5,6,6,7,4,7,5
AK,111,415,0,0,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,1,522.6,273,54.22,5,4,5,6,7,6,4,5,4,4,4,4,4,5,5
GA,44,510,0,0,0,288.1,112,48.98,258.0,92,21.93,192.4,90,8.66,10.2,4,2.75,3,1,748.7,298,82.32,9,7,9,8,6,8,5,5,5,6,6,8,5,9,2
UT,61,510,1,0,0,78.2,103,13.29,195.9,149,16.65,108.0,100,4.86,10.1,6,2.73,2,0,392.20000000000005,358,37.529999999999994,3,7,3,6,9,6,3,5,3,6,6,2,8,2,3
NM,65,415,0,0,0,148.7,80,25.28,259.0,94,22.02,149.5,107,6.73,12.7,6,3.43,2,0,569.9000000000001,287,57.46,5,5,5,8,6,8,4,6,4,7,7,5,5,5,3
NE,74,415,0,1,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,0,503.1,264,54.709999999999994,6,6,6,4,7,4,5,3,5,7,7,4,4,5,4
NJ,123,408,0,0,0,159.5,77,27.12,303.8,92,25.82,226.9,120,10.21,12.0,4,3.24,0,0,702.2,293,66.39,5,5,5,9,6,9,6,7,6,6,6,7,5,6,6
TX,58,408,0,1,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,0,654.3,293,64.45,6,7,6,6,6,6,6,5,6,5,5,7,5,6,3
MT,74,408,0,0,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,1,691.0999999999999,318,64.77,5,6,5,7,6,7,7,7,7,5,5,7,6,6,4
CO,125,415,0,0,0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,0,584.4000000000001,322,49.98,4,6,4,4,6,4,8,7,8,4,4,5,6,4,6
RI,53,408,0,1,18,146.8,107,24.96,310.0,84,26.35,178.7,130,8.04,7.2,7,1.94,0,0,642.7,328,61.29,5,7,5,9,5,9,5,7,5,4,4,6,7,6,3
WY,99,408,0,1,28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,0,646.6999999999999,311,66.80999999999999,6,6,6,8,7,8,5,5,5,5,5,7,6,6,5
ID,99,415,0,0,0,145.6,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,5,2.94,1,0,485.59999999999997,300,46.44,5,7,5,3,7,3,6,4,6,6,6,4,5,4,5
CT,66,415,0,1,29,229.4,104,39.0,257.4,84,21.88,231.5,119,10.42,8.0,1,2.16,2,0,726.3,308,73.46,7,7,7,8,5,8,6,7,6,4,4,8,6,7,3
ME,97,510,0,0,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,4.7,4,1.27,3,0,527.7,282,58.75,7,5,7,6,6,6,3,5,3,3,3,5,5,5,4
MD,85,510,1,0,0,216.0,73,36.72,188.2,117,16.0,147.1,98,6.62,3.6,7,0.97,2,0,554.9,295,60.309999999999995,7,5,7,6,7,6,4,5,4,2,2,5,5,6,4
IN,108,510,0,0,0,293.0,88,49.81,160.6,101,13.65,143.9,87,6.48,10.0,6,2.7,2,0,607.5,282,72.64,9,6,9,5,6,5,4,4,4,5,5,6,5,7,5
NC,133,408,1,1,32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,1,670.3,348,71.86999999999999,7,9,7,8,6,8,4,6,4,8,8,7,7,7,6
DE,51,510,0,0,0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1,0,575.8999999999999,316,58.8,6,7,6,6,6,6,5,7,5,6,6,5,6,5,3
MN,186,415,0,1,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,0,562.4000000000001,316,44.95,3,7,3,5,7,5,8,5,8,8,8,5,6,4,8
WI,44,415,1,0,0,62.3,92,10.59,275.0,82,23.38,138.7,108,6.24,10.8,3,2.92,1,0,486.8,285,43.13,2,6,2,8,5,8,4,6,4,6,6,4,5,3,2
FL,64,408,0,1,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,1,2.43,3,0,653.2,322,69.93,7,6,7,7,7,7,4,7,4,5,5,7,6,7,3
SD,114,415,0,1,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,0,707.9000000000001,286,81.80000000000001,9,6,9,6,6,6,5,6,5,8,8,8,5,9,5
FL,92,415,0,0,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,0,659.9000000000001,279,67.09,6,5,6,7,7,7,6,4,6,7,7,7,4,7,4
OR,110,408,0,0,0,149.8,112,25.47,180.0,93,15.3,140.0,119,6.3,11.7,4,3.16,2,0,481.5,328,50.22999999999999,5,7,5,5,6,5,4,7,4,6,6,4,7,4,5
CO,90,408,0,1,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,0,565.3000000000001,298,59.33,6,5,6,7,6,7,4,7,4,4,4,5,5,5,4
CT,72,408,0,1,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,4.46,1,0,725.4000000000001,317,73.1,6,7,6,10,6,10,5,7,5,9,9,8,6,7,3
IN,113,415,0,0,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,1,810.1,382,78.19,6,10,6,10,7,10,6,6,6,4,4,9,9,8,5
PA,171,415,0,1,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,0,567.4000000000001,288,63.05,7,5,7,6,7,6,4,5,4,6,6,5,5,6,8
NM,104,415,0,0,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,0,499.2,324,51.61000000000001,5,7,5,5,6,5,4,6,4,6,6,4,6,4,5
ME,165,408,0,0,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,0,665.5,263,58.8,5,5,5,6,6,6,8,5,8,6,6,7,4,5,7
SD,104,510,0,0,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,1,720.9999999999999,305,75.65,7,8,7,9,6,9,5,4,5,5,5,8,6,8,5
AR,110,408,0,0,0,55.3,102,9.4,164.7,124,14.0,200.7,108,9.03,10.2,5,2.75,1,0,430.9,339,35.18,2,7,2,5,8,5,5,6,5,6,6,3,7,2,5
TX,90,408,1,0,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,0,649.8000000000001,389,67.01,7,6,7,6,8,6,6,9,6,5,5,7,9,7,4
NH,114,415,0,0,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2.0,1,0,415.2,303,43.91,5,6,5,2,6,2,5,7,5,4,4,3,5,3,5
AL,109,408,0,0,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,0,688.6999999999999,306,72.89,7,7,7,9,6,9,4,6,4,6,6,7,6,7,5
OK,92,510,0,0,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,0,486.50000000000006,318,49.81999999999999,6,6,6,3,8,3,5,6,5,5,5,4,6,4,4
ME,82,510,0,1,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2,0,640.0999999999999,345,67.00999999999999,6,7,6,7,9,7,4,5,4,5,5,6,7,7,4
WV,90,415,0,0,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0,649.8,331,64.25,6,9,6,5,5,5,7,5,7,7,7,7,7,6,4
HI,87,408,0,1,28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0.0,0,0.0,1,0,553.9,301,49.94,5,6,5,5,6,5,7,6,7,0,0,5,5,4,4
MN,124,510,0,0,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,0,491.20000000000005,251,49.18000000000001,5,5,5,4,5,4,5,5,5,5,5,4,3,4,6
AZ,84,415,0,0,0,159.0,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,0,506.8,314,52.16,5,5,5,5,8,5,4,5,4,7,7,4,6,4,4
OH,75,510,0,1,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,0,671.0,305,67.07000000000001,7,4,7,6,7,6,7,7,7,5,5,7,6,7,4
MI,102,510,0,0,0,102.6,89,17.44,246.0,77,20.91,170.5,140,7.67,9.1,4,2.46,2,0,528.2,310,48.480000000000004,3,6,3,7,5,7,4,8,4,5,5,5,6,4,5
MA,62,415,1,0,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,1,492.69999999999993,273,53.16,5,6,5,6,5,6,3,6,3,7,7,4,4,5,3
WV,143,510,0,0,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,0,517.1,288,56.29,6,7,6,5,7,5,4,3,4,3,3,4,5,5,6
MI,53,415,0,0,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,0,578.9,360,46.470000000000006,2,6,2,8,8,8,6,7,6,6,6,5,8,4,3
MO,112,415,0,0,0,335.5,77,57.04,212.5,109,18.06,265.0,132,11.93,12.7,8,3.43,2,1,825.7,326,90.46000000000001,10,5,10,6,7,6,7,7,7,7,7,10,6,10,5
RI,129,415,0,0,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0,0,571.3000000000001,329,57.67,4,8,4,8,7,8,3,5,3,7,7,5,7,5,6
WY,28,415,0,0,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,0,655.8000000000001,309,65.32000000000001,6,6,6,7,6,7,5,7,5,6,6,7,6,6,2
KY,90,415,0,0,0,193.7,83,32.93,154.2,79,13.11,299.0,60,13.46,12.7,3,3.43,1,0,659.6,225,62.93,6,6,6,5,5,5,8,2,8,7,7,7,2,6,4
OR,151,510,0,0,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,0,593.2,373,57.32,5,7,5,7,7,7,5,8,5,4,4,6,9,5,7
DC,41,408,0,1,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,0,658.1,326,70.11,7,7,7,7,7,7,5,5,5,4,4,7,6,7,2
UT,48,510,0,1,43,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,0,613.3,276,58.91,5,7,5,6,4,6,6,5,6,4,4,6,4,5,2
VA,153,510,0,0,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,0,504.40000000000003,306,55.92,6,7,6,5,6,5,4,5,4,6,6,4,6,5,7
KS,110,415,1,0,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,1,763.2,264,81.81,9,5,9,6,6,6,7,5,7,8,8,8,4,9,5
KS,163,415,0,0,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,0,666.4,301,64.53999999999999,6,6,6,6,6,6,7,7,7,7,7,7,5,6,7
DC,126,510,0,0,0,122.4,88,20.81,143.8,111,12.22,157.0,106,7.07,11.5,3,3.11,1,0,434.70000000000005,308,43.21,4,6,4,4,7,4,4,6,4,6,6,3,6,3,6
DC,126,415,0,0,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,0,636.3000000000001,315,58.78,5,7,5,7,8,7,7,4,7,3,3,6,6,5,6
TX,97,510,0,0,0,144.2,91,24.51,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,0,529.3,304,54.019999999999996,5,6,5,7,9,7,4,3,4,7,7,5,6,5,4
NJ,95,408,1,1,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,1,614.7,292,63.519999999999996,7,7,7,6,6,6,5,4,5,3,3,6,5,6,4
DE,87,510,0,0,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4,0,673.6999999999999,289,70.42999999999999,8,7,8,5,6,5,7,4,7,4,4,7,5,7,4
VT,97,415,0,0,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,0,489.0,309,46.26,4,8,4,6,7,6,4,4,4,4,4,4,6,4,4
GA,76,415,0,0,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,1,750.6000000000001,355,83.37,9,8,9,7,6,7,6,8,6,7,7,8,8,9,4
TX,140,408,0,0,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,0,604.7,303,61.53,6,7,6,5,6,5,6,5,6,7,7,6,5,6,6
MT,169,415,0,0,0,100.8,112,17.14,230.0,69,19.55,193.6,95,8.71,9.5,2,2.57,0,0,533.9,278,47.97,3,7,3,7,5,7,5,5,5,5,5,5,4,4,7
ND,68,408,0,1,22,82.5,97,14.03,289.9,94,24.64,180.0,114,8.1,4.8,4,1.3,3,0,557.1999999999999,309,48.07,3,6,3,8,6,8,5,6,5,3,3,5,6,4,3
NJ,122,415,0,1,34,146.4,104,24.89,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,2,0,471.70000000000005,302,46.62,5,7,5,3,7,3,6,5,6,8,8,4,5,4,5
MO,36,408,0,0,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,0,719.5999999999999,324,66.03,6,8,6,7,6,7,8,5,8,6,6,8,6,6,2
CO,120,510,0,1,27,153.5,84,26.1,194.0,73,16.49,256.5,94,11.54,10.2,7,2.75,5,0,614.2,258,56.88,5,6,5,6,5,6,7,5,7,6,6,6,3,5,5
NC,64,408,0,1,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,0,552.5,319,54.17,6,7,6,4,6,4,6,6,6,4,4,5,6,5,3
MT,13,415,0,1,31,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,0,685.1,307,72.80000000000001,8,6,8,5,6,5,7,6,7,7,7,7,6,7,1
DE,106,415,0,0,0,128.6,83,21.86,134.0,114,11.39,210.6,113,9.48,11.4,2,3.08,0,0,484.6,312,45.81,4,6,4,4,7,4,6,6,6,6,6,4,6,4,5
VA,74,408,0,0,0,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,0,582.0999999999999,331,57.0,5,8,5,6,7,6,5,5,5,5,5,5,7,5,4
IL,83,415,0,0,0,195.0,92,33.15,210.5,83,17.89,180.6,92,8.13,11.0,13,2.97,0,0,597.1,280,62.14,6,6,6,6,5,6,5,5,5,6,6,6,4,6,4
OK,49,415,0,0,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,0,734.3000000000001,307,73.88,7,5,7,8,6,8,6,7,6,8,8,8,6,7,2
CO,111,510,0,1,24,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14.0,4,3.78,1,0,654.7,312,67.08,6,7,6,7,6,7,6,5,6,7,7,7,6,7,5
MT,50,415,0,1,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,0,597.7,361,67.53999999999999,8,7,8,5,6,5,4,8,4,5,5,6,8,7,3
ME,88,415,0,0,0,192.0,91,32.64,127.6,127,10.85,155.6,125,7.0,7.5,5,2.03,1,0,482.70000000000005,348,52.52,6,6,6,4,8,4,4,7,4,4,4,4,7,5,4
WI,131,415,0,1,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,0,284.3,356,27.54,2,8,2,3,8,3,3,5,3,5,5,1,8,1,6
MO,79,408,0,0,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6.0,3,1.62,3,1,735.0,231,75.56,8,6,8,6,3,6,7,4,7,3,3,8,2,8,4
NY,140,415,0,0,0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,0,607.3,326,69.64999999999999,7,5,7,8,8,8,3,6,3,6,6,6,6,7,6
CT,105,408,0,0,0,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,0,607.5,251,64.36,7,7,7,6,4,6,5,5,5,5,5,6,3,6,5
WY,87,415,0,1,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,0,583.8000000000001,292,65.3,8,4,8,3,7,3,5,6,5,5,5,5,5,6,4
CA,96,510,0,1,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,0,569.5,330,58.739999999999995,6,8,6,6,7,6,5,5,5,6,6,5,7,5,4
AK,130,415,0,0,0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,0,497.00000000000006,306,58.88999999999999,7,7,7,3,7,3,4,4,4,5,5,4,6,5,6
VA,34,415,0,0,0,151.0,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,0,478.9,296,47.910000000000004,5,7,5,4,6,4,5,4,5,5,5,4,5,4,2
CO,139,415,0,0,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,0,445.8,268,45.77,4,7,4,5,6,5,4,3,4,5,5,3,4,4,6
NE,63,415,0,0,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,0,720.3999999999999,233,71.07999999999998,7,5,7,7,6,7,7,2,7,7,7,8,2,7,3
VT,152,415,0,0,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2.0,3,0,412.69999999999993,306,50.08,6,8,6,4,5,4,2,5,2,4,4,3,6,4,7
ND,147,408,0,0,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0,620.4,311,62.01,6,6,6,5,8,5,6,4,6,4,4,6,6,6,7
GA,112,415,0,1,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,0,681.8,378,64.6,6,7,6,7,8,7,7,8,7,5,5,7,9,6,5
OR,120,415,0,0,0,252.0,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,0,563.6,323,65.03,8,8,8,5,7,5,4,5,4,5,5,5,6,6,5
WY,171,415,0,0,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,0,639.0999999999999,334,67.96999999999998,7,9,7,6,5,6,5,7,5,7,7,6,7,7,8
GA,101,415,0,1,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,0,609.6,324,63.5,6,7,6,6,8,6,5,5,5,8,8,6,6,6,5
IL,151,408,0,0,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,0,491.6,286,52.47,5,7,5,4,6,4,4,4,4,6,6,4,5,5,7
CO,60,408,0,0,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,0,596.4000000000001,243,54.95,4,6,4,7,4,7,6,4,6,6,6,6,3,5,3
MA,42,408,0,0,0,241.2,134,41.0,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,0,520.5,343,60.61,7,9,7,4,7,4,4,5,4,6,6,4,7,6,2
IN,84,408,0,0,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,0,580.8,291,64.83,7,6,7,7,4,7,3,7,3,5,5,5,5,6,4
NY,65,510,0,0,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,0,564.0,328,59.05,6,7,6,5,7,5,5,6,5,5,5,5,7,5,3
TX,75,415,1,0,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,1,766.1,302,77.32,7,5,7,9,7,9,5,5,5,5,5,9,5,8,4
NE,189,415,0,1,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,0,541.6,308,65.05,8,6,8,5,8,5,3,4,3,6,6,5,6,6,8
CO,63,415,0,1,32,30.9,113,5.25,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,0,457.30000000000007,334,33.86,1,7,1,6,7,6,6,5,6,5,5,3,7,2,3
SC,108,510,0,0,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,0,616.0,342,61.96999999999999,6,7,6,6,8,6,6,6,6,7,7,6,7,6,5
CO,71,415,0,0,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,0,544.4000000000001,328,66.29999999999998,8,7,8,4,8,4,3,5,3,5,5,5,7,6,3
MS,137,510,0,0,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,0,522.9000000000001,319,51.92999999999999,5,8,5,6,6,6,5,6,5,6,6,4,6,4,6
NE,82,408,0,0,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0,660.1,281,65.27000000000001,6,3,6,8,8,8,5,5,5,3,3,7,4,6,4
MT,96,415,0,0,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,0,434.9,330,38.6,3,6,3,3,7,3,6,6,6,6,6,3,7,3,4
NH,37,415,0,0,0,206.0,89,35.02,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,0,707.5,274,66.92,6,6,6,6,6,6,8,4,8,5,5,8,4,7,2
IA,98,415,0,0,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0,0,606.1,288,64.49,7,6,7,6,7,6,5,4,5,6,6,6,5,6,5
WV,121,415,0,0,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,0,410.2,308,38.94,3,7,3,4,5,4,4,6,4,6,6,3,6,3,5
RI,94,415,0,0,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,0,434.4,319,45.06999999999999,4,6,4,5,6,5,3,7,3,4,4,3,6,4,4
KS,99,415,0,0,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,0,612.8000000000001,329,61.2,6,7,6,5,6,5,6,6,6,8,8,6,7,6,5
MT,163,510,0,1,23,160.0,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,0,589.6999999999999,293,56.46,5,7,5,6,4,6,6,6,6,6,6,6,5,5,7
MO,161,510,0,0,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,0,615.3,294,64.59,7,6,7,6,5,6,5,6,5,4,4,6,5,6,7
HI,99,415,0,0,0,62.9,81,10.69,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,1,0,471.29999999999995,271,40.23,2,5,2,7,4,7,4,7,4,5,5,4,4,3,5
CO,108,415,0,0,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,0,608.9,267,62.97,7,5,7,6,7,6,5,3,5,2,2,6,4,6,5
CT,84,510,0,1,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,0,657.2,294,60.89,5,6,5,7,7,7,7,3,7,4,4,7,5,6,4
DC,139,510,0,0,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,0,563.2,259,59.019999999999996,6,5,6,5,6,5,5,4,5,5,5,5,4,5,6
TN,69,510,0,0,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,0,684.4,301,66.7,6,5,6,6,7,6,7,7,7,7,7,7,5,6,3
WY,129,510,0,0,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,0,665.5,306,62.38999999999999,5,7,5,9,6,9,6,4,6,6,6,7,6,6,6
MO,106,415,0,0,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,0,425.4,283,36.58,4,7,4,3,6,3,6,4,6,0,0,3,5,2,5
SD,168,415,0,1,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,0,569.4,261,57.71,6,5,6,6,7,6,5,4,5,4,4,5,4,5,7
GA,57,408,1,1,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,0,709.9,344,71.63999999999999,7,8,7,6,7,6,7,5,7,6,6,8,7,7,3
AZ,67,415,0,0,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,0,616.8,291,64.48,7,8,7,7,6,7,5,4,5,4,4,6,5,6,3
AK,127,408,0,0,0,182.3,124,30.99,169.9,110,14.44,184.0,116,8.28,9.3,3,2.51,1,0,545.5,353,56.22,6,8,6,5,7,5,5,6,5,5,5,5,8,5,6
AK,78,510,0,0,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,0,653.0,291,63.58,6,6,6,6,6,6,7,6,7,6,6,7,5,6,4
CT,100,415,0,1,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2.0,0,0,590.9,270,56.94,6,6,6,5,7,5,6,3,6,4,4,6,4,5,5
KY,113,415,0,0,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,0,527.9,341,61.480000000000004,7,6,7,6,8,6,3,6,3,7,7,5,7,6,5
MI,78,510,0,0,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3,0,595.7,305,56.64,4,7,4,7,3,7,5,8,5,7,7,6,6,5,4
