State,Area code,International plan,Voice mail plan,Number vmail messages,Total intl calls,Customer service calls,Churn,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
OH,415,0,0,0,3,4,0,6,5,6,7,7,7,5,5,5,4,4,6,5,6,3
WI,415,1,0,0,5,0,0,8,6,8,5,7,5,5,3,5,5,5,6,5,7,4
IL,415,0,0,0,7,0,0,5,5,5,4,5,4,7,6,7,4,4,4,4,4,1
RI,510,1,0,0,3,1,0,4,7,4,7,5,7,4,4,4,6,6,4,4,4,6
TX,415,0,0,0,4,2,0,6,7,6,6,7,6,4,6,4,3,3,5,7,5,6
OR,408,0,0,0,5,2,0,6,6,6,4,5,4,5,5,5,5,5,5,4,5,1
MS,415,0,0,0,5,3,0,8,7,8,6,6,6,5,7,5,4,4,7,7,7,6
OR,415,0,0,0,3,0,0,5,5,5,4,6,4,6,5,6,5,5,4,4,4,4
SD,408,0,1,34,6,1,0,5,5,5,6,5,6,6,4,6,8,8,6,3,5,6
NV,415,0,0,0,6,2,0,6,6,6,9,5,9,6,6,6,4,4,8,5,7,5
NM,415,0,1,28,11,2,0,6,8,6,8,8,8,4,7,4,5,5,7,9,7,6
MN,510,0,0,0,1,1,0,8,7,8,5,6,5,2,6,2,8,8,5,6,6,3
NJ,415,0,0,0,3,0,0,6,8,6,8,5,8,5,4,5,7,7,7,5,7,5
IN,415,0,1,45,2,3,0,8,8,8,4,5,4,7,5,7,6,6,7,6,7,4
ME,415,0,0,0,7,1,0,4,8,4,4,7,4,5,5,5,7,7,3,7,3,7
NH,415,0,1,40,9,1,0,3,4,3,6,6,6,6,7,6,5,5,5,5,4,3
OR,510,0,0,0,7,2,0,4,5,4,8,6,8,6,9,6,7,7,6,6,5,2
NE,415,0,0,0,4,1,0,6,6,6,8,7,8,5,5,5,6,6,7,6,6,7
MI,510,0,0,0,2,1,0,7,5,7,6,6,6,7,5,7,7,7,7,4,7,5
SC,415,0,0,0,5,2,0,5,7,5,5,6,5,4,7,4,6,6,4,7,4,4
PA,408,0,1,31,3,0,0,9,7,9,6,6,6,5,2,5,5,5,7,3,8,3
MT,510,0,1,29,3,1,0,7,5,7,4,6,4,4,6,4,6,6,5,5,6,3
NM,415,0,0,0,3,1,0,6,8,6,9,6,9,6,8,6,4,4,8,8,7,7
WY,510,0,0,0,3,1,0,5,6,5,10,7,10,5,7,5,7,7,7,6,6,5
AR,510,0,1,27,6,1,0,8,9,8,5,6,5,6,6,6,7,7,7,8,7,6
FL,408,0,0,0,4,0,0,5,6,5,8,6,8,4,3,4,7,7,5,4,5,5
AR,510,0,1,29,3,1,0,4,7,4,7,5,7,3,5,3,4,4,4,5,4,3
MO,510,0,0,0,5,1,0,8,8,8,6,8,6,4,6,4,7,7,6,8,7,6
WI,408,1,0,0,7,2,0,5,7,5,6,8,6,9,6,9,5,5,8,8,6,4
TX,510,0,0,0,4,3,0,4,8,4,7,9,7,5,6,5,5,5,5,8,5,4
NM,510,0,0,0,5,2,0,9,7,9,4,8,4,5,7,5,4,4,6,7,7,3
GA,415,0,0,0,3,1,0,4,7,4,6,4,6,3,4,3,7,7,3,4,4,4
KS,408,0,1,23,2,0,0,7,7,7,7,7,7,6,4,6,5,5,8,5,7,4
KY,408,0,0,0,7,2,0,5,6,5,8,4,8,3,3,3,5,5,5,3,5,3
DC,415,0,1,28,3,3,0,6,6,6,7,8,7,5,4,5,3,3,6,5,6,1
WA,415,0,0,0,3,0,0,6,8,6,4,7,4,4,4,4,6,6,4,7,4,5
UT,415,0,0,0,5,1,0,8,8,8,7,7,7,4,5,4,5,5,6,7,7,4
NV,408,0,0,0,2,0,0,4,5,4,6,6,6,7,4,7,3,3,6,3,5,4
ND,415,0,1,23,5,0,0,6,6,6,7,6,7,7,6,7,5,5,7,5,6,5
MD,415,0,0,0,4,1,0,5,7,5,6,5,6,7,5,7,6,6,6,4,6,5
AL,510,0,1,34,9,2,0,6,4,6,8,7,8,4,6,4,9,9,6,5,6,2
NE,415,0,0,0,2,1,0,7,9,7,5,5,5,6,6,6,6,6,7,7,7,2
NV,408,0,0,0,6,3,0,3,8,3,7,6,7,5,4,5,5,5,4,5,3,4
IL,408,0,0,0,3,1,0,2,8,2,4,6,4,5,2,5,4,4,2,4,2,7
AR,510,0,0,0,6,3,0,5,7,5,5,3,5,8,4,8,5,5,6,3,5,4
UT,510,0,0,0,5,1,0,8,7,8,5,7,5,6,6,6,6,6,7,7,7,3
GA,510,0,1,23,2,3,0,5,7,5,5,7,5,6,6,6,4,4,5,7,4,6
AZ,408,0,0,0,2,1,0,5,9,5,5,6,5,8,7,8,5,5,6,8,5,6
ID,408,0,0,0,4,2,0,6,7,6,5,7,5,7,5,7,6,6,6,6,6,5
HI,408,0,0,0,6,1,0,6,7,6,7,4,7,3,5,3,6,6,5,4,6,7
MD,415,0,0,0,4,0,0,5,8,5,5,4,5,7,5,7,5,5,6,4,5,4
GA,510,0,0,0,13,2,0,5,6,5,8,7,8,6,5,6,7,7,6,6,6,5
GA,510,0,0,0,2,3,0,7,8,7,7,6,7,6,3,6,6,6,7,6,7,4
UT,415,0,1,16,2,0,0,5,7,5,4,7,4,3,4,3,4,4,3,6,3,2
IN,415,0,0,0,2,0,0,6,7,6,9,9,9,6,6,6,6,6,8,7,7,4
VT,510,0,0,0,0,1,0,7,8,7,6,4,6,6,7,6,0,0,7,6,7,7
IA,415,0,0,0,4,1,0,5,8,5,7,6,7,5,4,5,7,7,5,5,5,6
MD,408,0,0,0,4,1,0,8,6,8,4,7,4,7,7,7,5,5,7,7,7,1
FL,415,1,0,0,9,2,0,5,7,5,5,4,5,5,6,5,6,6,5,5,5,7
CA,415,0,1,36,4,2,0,6,9,6,5,6,5,3,4,3,4,4,4,6,5,4
AL,415,0,0,0,3,2,0,6,6,6,8,5,8,5,6,5,6,6,7,5,6,6
WV,415,0,0,0,2,1,0,5,6,5,7,7,7,2,5,2,4,4,4,5,5,4
FL,415,0,1,28,5,1,0,8,7,8,7,6,7,7,7,7,4,4,8,6,8,6
MI,415,1,1,26,3,0,0,7,9,7,5,7,5,7,4,7,5,5,7,7,6,5
NM,510,0,0,0,12,0,0,6,6,6,5,6,5,7,4,7,7,7,6,5,6,4
AK,415,0,0,0,5,1,0,5,4,5,4,5,4,7,4,7,6,6,5,2,5,2
OH,415,0,1,31,5,2,0,5,6,5,7,4,7,6,7,6,6,6,6,4,5,6
KS,408,0,1,24,5,1,0,6,5,6,7,7,7,6,8,6,6,6,7,7,6,6
VT,408,0,1,17,3,1,0,4,7,4,6,5,6,5,7,5,7,7,5,6,4,8
NE,415,0,0,0,8,3,0,6,6,6,8,6,8,4,4,4,8,8,6,5,7,3
VA,408,0,0,0,8,2,0,5,7,5,6,6,6,6,5,6,5,5,6,5,6,3
DE,415,0,1,30,3,0,0,7,5,7,6,6,6,6,5,6,4,4,7,4,7,2
ID,510,0,1,14,5,1,0,3,9,3,6,5,6,4,4,4,9,9,3,5,3,7
MS,510,0,0,0,1,2,0,3,7,3,9,6,9,5,7,5,4,4,6,6,5,4
NM,415,0,0,0,3,1,0,5,6,5,7,6,7,4,5,4,7,7,5,5,5,4
WI,408,0,0,0,3,3,0,6,6,6,5,7,5,3,5,3,5,5,4,5,5,2
WV,415,0,0,0,2,1,0,8,7,8,5,6,5,3,5,3,6,6,5,5,6,5
KY,408,0,1,27,5,7,0,8,6,8,7,7,7,5,7,5,5,5,7,6,7,5
MO,408,0,0,0,6,2,0,2,7,2,5,5,5,4,5,4,5,5,2,5,1,3
OK,408,0,0,0,8,2,0,2,8,2,5,6,5,4,6,4,6,6,2,7,2,8
MI,510,0,0,0,3,0,0,7,6,7,6,6,6,5,8,5,7,7,6,6,6,2
ID,415,0,0,0,4,2,0,4,9,4,5,9,5,5,3,5,5,5,4,8,4,2
DC,510,1,0,0,9,0,0,2,7,2,10,7,10,5,5,5,7,7,6,7,5,5
NY,415,0,1,37,4,2,0,5,5,5,6,6,6,6,4,6,4,4,6,4,5,2
AL,415,0,0,0,3,2,0,5,7,5,7,6,7,6,3,6,4,4,6,4,5,4
OR,415,0,1,38,5,2,0,7,4,7,7,7,7,5,3,5,6,6,7,3,7,5
OK,415,0,1,36,3,1,0,6,8,6,2,5,2,3,5,3,3,3,2,5,4,6
NE,408,0,0,0,1,1,0,2,7,2,8,9,8,6,4,6,10,10,5,7,4,8
TX,415,0,1,40,6,1,0,5,6,5,5,7,5,5,5,5,7,7,5,5,5,6
UT,415,0,1,22,3,0,0,5,6,5,6,6,6,3,5,3,5,5,4,5,4,8
NY,408,0,0,0,3,2,0,4,7,4,6,8,6,6,5,6,5,5,5,7,4,3
AL,408,0,1,28,2,1,0,5,6,5,5,7,5,3,4,3,4,4,3,5,4,2
RI,510,0,1,27,3,1,0,4,7,4,7,6,7,7,6,7,6,6,7,6,5,4
CT,415,0,1,31,3,0,0,3,4,3,7,6,7,7,7,7,3,3,6,5,4,2
OK,408,0,1,31,5,4,0,7,4,7,6,7,6,5,4,5,6,6,7,4,7,5
UT,510,1,0,0,6,2,0,3,7,3,6,9,6,3,5,3,6,6,2,8,2,3
NM,415,0,0,0,6,2,0,5,5,5,8,6,8,4,6,4,7,7,5,5,5,3
NE,415,0,1,25,2,2,0,6,6,6,4,7,4,5,3,5,7,7,4,4,5,4
NJ,408,0,0,0,4,0,0,5,5,5,9,6,9,6,7,6,6,6,7,5,6,6
TX,408,0,1,20,2,1,0,6,7,6,6,6,6,6,5,6,5,5,7,5,6,3
CO,415,0,0,0,6,2,0,4,6,4,4,6,4,8,7,8,4,4,5,6,4,6
RI,408,0,1,18,7,0,0,5,7,5,9,5,9,5,7,5,4,4,6,7,6,3
WY,408,0,1,28,5,1,0,6,6,6,8,7,8,5,5,5,5,5,7,6,6,5
ID,415,0,0,0,5,1,0,5,7,5,3,7,3,6,4,6,6,6,4,5,4,5
CT,415,0,1,29,1,2,0,7,7,7,8,5,8,6,7,6,4,4,8,6,7,3
ME,510,0,0,0,4,3,0,7,5,7,6,6,6,3,5,3,3,3,5,5,5,4
MD,510,1,0,0,7,2,0,7,5,7,6,7,6,4,5,4,2,2,5,5,6,4
IN,510,0,0,0,6,2,0,9,6,9,5,6,5,4,4,4,5,5,6,5,7,5
DE,510,0,0,0,2,1,0,6,7,6,6,6,6,5,7,5,6,6,5,6,5,3
MN,415,0,1,26,3,2,0,3,7,3,5,7,5,8,5,8,8,8,5,6,4,8
WI,415,1,0,0,3,1,0,2,6,2,8,5,8,4,6,4,6,6,4,5,3,2
FL,408,0,1,31,1,3,0,7,6,7,7,7,7,4,7,4,5,5,7,6,7,3
SD,415,0,1,36,2,1,0,9,6,9,6,6,6,5,6,5,8,8,8,5,9,5
FL,415,0,0,0,6,3,0,6,5,6,7,7,7,6,4,6,7,7,7,4,7,4
OR,408,0,0,0,4,2,0,5,7,5,5,6,5,4,7,4,6,6,4,7,4,5
CO,408,0,1,30,3,1,0,6,5,6,7,6,7,4,7,4,4,4,5,5,5,4
CT,408,0,1,21,4,1,0,6,7,6,10,6,10,5,7,5,9,9,8,6,7,3
PA,415,0,1,25,3,3,0,7,5,7,6,7,6,4,5,4,6,6,5,5,6,8
NM,415,0,0,0,8,1,0,5,7,5,5,6,5,4,6,4,6,6,4,6,4,5
ME,408,0,0,0,2,1,0,5,5,5,6,6,6,8,5,8,6,6,7,4,5,7
AR,408,0,0,0,5,1,0,2,7,2,5,8,5,5,6,5,6,6,3,7,2,5
TX,408,1,0,0,4,1,0,7,6,7,6,8,6,6,9,6,5,5,7,9,7,4
NH,415,0,0,0,8,1,0,5,6,5,2,6,2,5,7,5,4,4,3,5,3,5
AL,408,0,0,0,4,2,0,7,7,7,9,6,9,4,6,4,6,6,7,6,7,5
OK,510,0,0,0,1,2,0,6,6,6,3,8,3,5,6,5,5,5,4,6,4,4
ME,510,0,1,29,5,2,0,6,7,6,7,9,7,4,5,4,5,5,6,7,7,4
WV,415,0,0,0,6,2,0,6,9,6,5,5,5,7,5,7,7,7,7,7,6,4
HI,408,0,1,28,0,1,0,5,6,5,5,6,5,7,6,7,0,0,5,5,4,4
MN,510,0,0,0,4,3,0,5,5,5,4,5,4,5,5,5,5,5,4,3,4,6
AZ,415,0,0,0,5,1,0,5,5,5,5,8,5,4,5,4,7,7,4,6,4,4
OH,510,0,1,46,6,0,0,7,4,7,6,7,6,7,7,7,5,5,7,6,7,4
MI,510,0,0,0,4,2,0,3,6,3,7,5,7,4,8,4,5,5,5,6,4,5
WV,510,0,0,0,4,1,0,6,7,6,5,7,5,4,3,4,3,3,4,5,5,6
MI,415,0,0,0,6,3,0,2,6,2,8,8,8,6,7,6,6,6,5,8,4,3
RI,415,0,0,0,8,0,0,4,8,4,8,7,8,3,5,3,7,7,5,7,5,6
WY,415,0,0,0,5,0,0,6,6,6,7,6,7,5,7,5,6,6,7,6,6,2
KY,415,0,0,0,3,1,0,6,6,6,5,5,5,8,2,8,7,7,7,2,6,4
OR,510,0,0,0,6,4,0,5,7,5,7,7,7,5,8,5,4,4,6,9,5,7
DC,408,0,1,37,1,2,0,7,7,7,7,7,7,5,5,5,4,4,7,6,7,2
UT,510,0,1,43,5,1,0,5,7,5,6,4,6,6,5,6,4,4,6,4,5,2
VA,510,0,0,0,6,1,0,6,7,6,5,6,5,4,5,4,6,6,4,6,5,7
KS,415,0,0,0,4,1,0,6,6,6,6,6,6,7,7,7,7,7,7,5,6,7
DC,510,0,0,0,3,1,0,4,6,4,4,7,4,4,6,4,6,6,3,6,3,6
DC,415,0,0,0,2,0,0,5,7,5,7,8,7,7,4,7,3,3,6,6,5,6
TX,510,0,0,0,4,3,0,5,6,5,7,9,7,4,3,4,7,7,5,6,5,4
DE,510,0,0,0,2,4,0,8,7,8,5,6,5,7,4,7,4,4,7,5,7,4
VT,415,0,0,0,5,1,0,4,8,4,6,7,6,4,4,4,4,4,4,6,4,4
TX,408,0,0,0,4,0,0,6,7,6,5,6,5,6,5,6,7,7,6,5,6,6
MT,415,0,0,0,2,0,0,3,7,3,7,5,7,5,5,5,5,5,5,4,4,7
ND,408,0,1,22,4,3,0,3,6,3,8,6,8,5,6,5,3,3,5,6,4,3
NJ,415,0,1,34,4,2,0,5,7,5,3,7,3,6,5,6,8,8,4,5,4,5
MO,408,0,0,0,6,2,0,6,8,6,7,6,7,8,5,8,6,6,8,6,6,2
CO,510,0,1,27,7,5,0,5,6,5,6,5,6,7,5,7,6,6,6,3,5,5
NC,408,0,1,19,3,0,0,6,7,6,4,6,4,6,6,6,4,4,5,6,5,3
MT,415,0,1,31,1,1,0,8,6,8,5,6,5,7,6,7,7,7,7,6,7,1
DE,415,0,0,0,2,0,0,4,6,4,4,7,4,6,6,6,6,6,4,6,4,5
VA,408,0,0,0,3,1,0,5,8,5,6,7,6,5,5,5,5,5,5,7,5,4
IL,415,0,0,0,13,0,0,6,6,6,6,5,6,5,5,5,6,6,6,4,6,4
OK,415,0,0,0,7,0,0,7,5,7,8,6,8,6,7,6,8,8,8,6,7,2
CO,510,0,1,24,4,1,0,6,7,6,7,6,7,6,5,6,7,7,7,6,7,5
MT,415,0,1,22,4,3,0,8,7,8,5,6,5,4,8,4,5,5,6,8,7,3
ME,415,0,0,0,5,1,0,6,6,6,4,8,4,4,7,4,4,4,4,7,5,4
WI,415,0,1,39,4,0,0,2,8,2,3,8,3,3,5,3,5,5,1,8,1,6
NY,415,0,0,0,4,2,0,7,5,7,8,8,8,3,6,3,6,6,6,6,7,6
CT,408,0,0,0,6,1,0,7,7,7,6,4,6,5,5,5,5,5,6,3,6,5
WY,415,0,1,22,3,3,0,8,4,8,3,7,3,5,6,5,5,5,5,5,6,4
CA,510,0,1,31,5,1,0,6,8,6,6,7,6,5,5,5,6,6,5,7,5,4
AK,415,0,0,0,2,2,0,7,7,7,3,7,3,4,4,4,5,5,4,6,5,6
VA,415,0,0,0,7,0,0,5,7,5,4,6,4,5,4,5,5,5,4,5,4,2
CO,415,0,0,0,2,1,0,4,7,4,5,6,5,4,3,4,5,5,3,4,4,6
NE,415,0,0,0,2,0,0,7,5,7,7,6,7,7,2,7,7,7,8,2,7,3
VT,415,0,0,0,4,3,0,6,8,6,4,5,4,2,5,2,4,4,3,6,4,7
ND,408,0,0,0,4,1,0,6,6,6,5,8,5,6,4,6,4,4,6,6,6,7
GA,415,0,1,22,4,2,0,6,7,6,7,8,7,7,8,7,5,5,7,9,6,5
OR,415,0,0,0,1,2,0,8,8,8,5,7,5,4,5,4,5,5,5,6,6,5
WY,415,0,0,0,1,1,0,7,9,7,6,5,6,5,7,5,7,7,6,7,7,8
GA,415,0,1,33,4,0,0,6,7,6,6,8,6,5,5,5,8,8,6,6,6,5
IL,408,0,0,0,5,0,0,5,7,5,4,6,4,4,4,4,6,6,4,5,5,7
CO,408,0,0,0,3,3,0,4,6,4,7,4,7,6,4,6,6,6,6,3,5,3
MA,408,0,0,0,4,0,0,7,9,7,4,7,4,4,5,4,6,6,4,7,6,2
IN,408,0,0,0,4,1,0,7,6,7,7,4,7,3,7,3,5,5,5,5,6,4
NY,510,0,0,0,4,0,0,6,7,6,5,7,5,5,6,5,5,5,5,7,5,3
NE,415,0,1,38,3,3,0,8,6,8,5,8,5,3,4,3,6,6,5,6,6,8
CO,415,0,1,32,7,1,0,1,7,1,6,7,6,6,5,6,5,5,3,7,2,3
SC,510,0,0,0,8,1,0,6,7,6,6,8,6,6,6,6,7,7,6,7,6,5
CO,415,0,0,0,2,1,0,8,7,8,4,8,4,3,5,3,5,5,5,7,6,3
MS,510,0,0,0,4,1,0,5,8,5,6,6,6,5,6,5,6,6,4,6,4,6
NE,408,0,0,0,7,4,0,6,3,6,8,8,8,5,5,5,3,3,7,4,6,4
MT,415,0,0,0,9,1,0,3,6,3,3,7,3,6,6,6,6,6,3,7,3,4
NH,415,0,0,0,11,0,0,6,6,6,6,6,6,8,4,8,5,5,8,4,7,2
IA,415,0,0,0,9,0,0,7,6,7,6,7,6,5,4,5,6,6,6,5,6,5
WV,415,0,0,0,3,0,0,3,7,3,4,5,4,4,6,4,6,6,3,6,3,5
RI,415,0,0,0,3,0,0,4,6,4,5,6,5,3,7,3,4,4,3,6,4,4
KS,415,0,0,0,3,1,0,6,7,6,5,6,5,6,6,6,8,8,6,7,6,5
MT,510,0,1,23,7,1,0,5,7,5,6,4,6,6,6,6,6,6,6,5,5,7
MO,510,0,0,0,4,3,0,7,6,7,6,5,6,5,6,5,4,4,6,5,6,7
HI,415,0,0,0,5,1,0,2,5,2,7,4,7,4,7,4,5,5,4,4,3,5
CO,415,0,0,0,5,1,0,7,5,7,6,7,6,5,3,5,2,2,6,4,6,5
CT,510,0,1,42,7,3,0,5,6,5,7,7,7,7,3,7,4,4,7,5,6,4
DC,510,0,0,0,3,2,0,6,5,6,5,6,5,5,4,5,5,5,5,4,5,6
TN,510,0,0,0,4,3,0,6,5,6,6,7,6,7,7,7,7,7,7,5,6,3
WY,510,0,0,0,8,4,0,5,7,5,9,6,9,6,4,6,6,6,7,6,6,6
MO,415,0,0,0,0,2,0,4,7,4,3,6,3,6,4,6,0,0,3,5,2,5
SD,415,0,1,22,5,2,0,6,5,6,6,7,6,5,4,5,4,4,5,4,5,7
GA,408,1,1,30,4,2,0,7,8,7,6,7,6,7,5,7,6,6,8,7,7,3
AZ,415,0,0,0,6,1,0,7,8,7,7,6,7,5,4,5,4,4,6,5,6,3
AK,408,0,0,0,3,1,0,6,8,6,5,7,5,5,6,5,5,5,5,8,5,6
AK,510,0,0,0,5,2,0,6,6,6,6,6,6,7,6,7,6,6,7,5,6,4
CT,415,0,1,38,2,0,0,6,6,6,5,7,5,6,3,6,4,4,6,4,5,5
KY,415,0,0,0,3,1,0,7,6,7,6,8,6,3,6,3,7,7,5,7,6,5
MI,510,0,0,0,11,3,0,4,7,4,7,3,7,5,8,5,7,7,6,6,5,4
OR,510,0,1,36,5,1,0,6,7,6,5,5,5,6,6,6,9,9,6,6,6,6
TN,510,0,0,0,3,2,0,5,7,5,6,7,6,6,5,6,6,6,6,6,5,3
WV,408,0,0,0,5,1,0,5,8,5,5,6,5,8,5,8,4,4,6,6,5,4
WY,415,0,0,0,1,2,0,6,8,6,9,7,9,6,5,6,4,4,8,7,7,4
IN,510,0,0,0,5,2,0,9,6,9,4,7,4,5,5,5,4,4,6,5,7,2
NM,408,0,1,37,8,2,0,7,8,7,4,6,4,6,4,6,5,5,5,5,6,4
NJ,415,1,1,20,4,1,0,6,7,6,5,6,5,5,7,5,7,7,5,7,5,4
DC,415,1,0,0,6,3,0,2,6,2,6,5,6,7,5,7,4,4,5,5,3,7
KS,510,0,0,0,3,1,0,5,8,5,7,6,7,6,4,6,6,6,6,5,6,3
MI,510,0,0,0,8,1,0,6,5,6,6,7,6,5,6,5,5,5,6,5,6,5
UT,510,0,1,20,2,1,0,7,3,7,6,4,6,4,6,4,5,5,6,2,6,3
NE,415,0,0,0,3,0,0,1,9,1,8,4,8,3,7,3,6,6,3,6,3,3
FL,415,0,1,17,3,5,0,6,7,6,7,8,7,7,5,7,6,6,7,7,7,5
LA,408,0,0,0,6,1,0,6,8,6,5,6,5,5,4,5,6,6,5,5,6,7
MT,415,0,0,0,5,1,0,6,8,6,7,6,7,5,4,5,5,5,7,5,6,4
WA,415,0,1,26,8,1,0,5,6,5,7,7,7,4,5,4,4,4,5,6,5,5
MI,415,0,0,0,2,1,0,5,6,5,4,8,4,6,7,6,4,4,4,7,4,5
KY,510,0,0,0,1,1,0,6,7,6,6,7,6,6,7,6,4,4,6,7,6,7
LA,408,0,0,0,5,1,0,7,8,7,8,6,8,3,6,3,5,5,6,7,7,5
AL,415,0,1,32,4,3,0,5,5,5,6,6,6,4,6,4,5,5,4,5,4,6
MO,415,0,1,29,6,0,0,4,8,4,6,6,6,6,3,6,6,6,5,5,4,5
CO,510,0,1,23,4,3,0,6,6,6,5,4,5,3,5,3,7,7,4,4,5,1
NY,415,0,0,0,4,1,0,6,7,6,4,7,4,7,5,7,5,5,6,6,6,2
OR,415,0,0,0,4,2,0,5,5,5,7,6,7,3,5,3,6,6,4,4,5,3
WY,415,0,0,0,14,2,0,7,6,7,7,7,7,4,3,4,5,5,6,5,6,2
UT,415,0,0,0,5,1,0,4,7,4,7,7,7,5,4,5,7,7,5,5,5,5
NV,415,0,1,21,4,2,0,6,6,6,5,6,5,9,7,9,5,5,7,6,6,6
NC,510,0,0,0,5,1,0,6,6,6,8,6,8,5,3,5,6,6,7,3,7,6
NC,408,0,0,0,3,2,0,6,8,6,7,6,7,4,5,4,5,5,5,6,6,2
WY,415,1,0,0,6,1,0,6,5,6,8,7,8,5,8,5,1,1,6,7,6,7
FL,415,0,1,31,4,0,0,5,6,5,7,6,7,6,4,6,6,6,6,4,5,5
CA,415,0,0,0,6,2,0,6,6,6,6,7,6,4,5,4,5,5,5,6,5,5
WV,415,0,1,26,4,2,0,7,10,7,4,9,4,6,5,6,8,8,6,9,6,7
NJ,415,0,0,0,2,3,0,7,6,7,7,5,7,4,5,4,5,5,6,4,7,4
MT,415,0,0,0,3,1,0,6,7,6,7,7,7,4,4,4,6,6,6,6,6,5
MN,415,0,0,0,4,1,0,5,4,5,6,7,6,6,6,6,7,7,6,4,5,8
ID,510,0,0,0,7,0,0,6,7,6,6,6,6,6,5,6,5,5,6,6,6,4
OR,415,0,0,0,4,1,0,5,6,5,6,5,6,6,6,6,6,6,6,5,5,4
AL,415,0,1,20,4,0,0,8,9,8,5,6,5,7,5,7,6,6,7,6,7,3
ND,510,1,1,24,4,2,0,4,4,4,6,7,6,6,4,6,3,3,5,3,4,6
LA,415,0,1,26,5,6,0,5,7,5,6,5,6,6,3,6,7,7,6,4,6,5
MS,510,1,0,0,9,2,0,8,7,8,6,4,6,4,3,4,6,6,6,3,7,5
WV,415,1,0,0,4,1,0,5,9,5,6,7,6,3,8,3,6,6,4,9,5,5
KS,408,1,0,0,4,3,0,2,8,2,5,4,5,7,4,7,5,5,4,4,3,5
PA,415,0,0,0,5,3,0,7,5,7,8,5,8,4,2,4,6,6,7,2,7,3
SD,408,0,0,0,3,0,0,6,5,6,6,6,6,5,4,5,6,6,6,4,6,4
AL,415,0,0,0,2,2,0,7,6,7,4,7,4,3,4,3,6,6,4,5,5,4
ME,510,0,0,0,3,3,0,4,5,4,7,7,7,4,3,4,6,6,4,3,4,6
WI,408,0,0,0,3,2,0,4,7,4,7,8,7,6,6,6,5,5,5,7,4,2
HI,408,0,0,0,2,1,0,6,8,6,7,6,7,4,6,4,8,8,6,6,6,3
DE,415,0,0,0,4,1,0,6,6,6,8,7,8,4,6,4,6,6,6,5,6,4
AZ,415,0,1,32,2,1,0,6,6,6,4,8,4,4,7,4,5,5,4,7,4,5
GA,415,0,1,22,5,2,0,6,7,6,8,6,8,3,8,4,8,8,6,7,6,6
AZ,415,0,1,26,5,1,0,5,7,5,4,9,4,6,5,6,8,8,4,8,4,5
MN,415,0,1,27,2,1,0,8,6,8,7,6,7,5,5,5,6,6,7,5,8,4
ME,510,0,0,0,5,1,0,8,7,8,6,8,6,5,5,5,5,5,6,7,7,5
FL,510,0,0,0,4,0,0,6,6,6,9,7,9,7,4,7,4,4,8,5,7,4
WA,408,0,0,0,3,1,0,6,6,6,7,6,7,8,4,8,7,7,9,4,7,6
MT,415,0,0,0,4,0,0,8,5,8,7,5,7,6,4,6,5,5,7,3,7,3
AL,408,0,0,0,4,0,0,6,6,6,6,7,6,3,4,3,4,4,4,5,5,4
WV,408,0,0,0,5,0,0,5,8,5,5,6,5,4,7,4,6,6,4,7,4,6
GA,415,0,1,30,3,1,0,4,6,4,5,7,5,5,6,5,7,7,4,6,4,3
OH,510,1,1,16,3,0,0,5,5,5,7,4,7,4,5,4,6,6,5,2,5,3
DE,510,0,1,17,3,1,0,6,6,6,7,9,7,5,3,5,3,3,6,5,6,8
FL,510,0,0,0,6,0,0,7,6,7,3,8,3,5,7,5,5,5,5,7,6,3
AK,510,0,0,0,4,1,0,4,6,4,3,5,3,5,4,5,7,7,3,4,3,7
WI,510,0,0,0,5,0,0,5,7,5,8,5,8,5,6,5,8,8,7,6,6,7
OH,510,0,0,0,5,1,0,7,5,7,6,7,6,6,5,6,7,7,7,5,7,4
UT,510,0,0,0,6,2,0,3,6,3,5,4,5,7,6,7,4,4,5,4,3,10
MN,415,0,0,0,3,1,0,5,9,5,6,6,6,6,5,6,7,7,6,7,5,7
WV,510,0,1,16,3,2,0,6,6,6,3,8,3,5,5,5,7,7,3,7,4,4
MN,415,0,0,0,5,0,0,4,7,4,2,6,2,5,4,5,7,7,2,5,2,4
AL,415,0,0,0,4,1,0,6,7,6,5,4,5,6,6,6,6,6,5,5,5,6
PA,510,0,1,24,6,1,0,5,5,5,4,5,4,5,4,5,6,6,3,2,4,4
DE,510,0,0,0,3,2,0,6,7,6,4,5,4,4,7,4,6,6,4,6,5,7
MO,415,0,0,0,6,1,0,5,7,5,6,6,6,5,6,5,6,6,5,6,5,4
IL,510,1,0,0,9,1,0,5,5,5,6,9,6,5,4,5,5,5,5,6,5,6
HI,415,0,0,0,2,2,0,6,9,6,5,6,5,7,6,7,3,3,6,8,6,3
ME,510,0,0,0,3,2,0,6,4,6,7,5,7,3,4,3,5,5,5,1,6,5
NH,415,0,0,0,2,2,0,6,6,6,6,6,6,6,5,6,6,6,7,4,6,4
FL,415,0,0,0,3,3,0,3,8,3,4,5,4,6,5,6,5,5,3,5,2,5
GA,510,0,0,0,3,1,0,3,5,3,6,7,6,2,3,2,5,5,2,4,2,2
