,card_id,disp_id,type,issued
830,1024,9622,classic,1998-09-20
831,1025,9625,classic,1997-09-08
832,1035,9732,classic,1998-10-11
833,1036,9735,classic,1997-01-17
834,1038,9787,junior,1995-03-30
835,1039,9837,classic,1995-01-07
836,1040,9890,junior,1995-05-28
837,1043,9974,junior,1996-08-14
838,1055,10171,classic,1996-07-24
839,1056,10220,classic,1997-11-06
840,1059,10235,classic,1997-07-29
841,1064,10328,classic,1996-02-17
842,1070,10490,junior,1998-11-08
843,1076,10604,gold,1998-07-27
844,1081,10696,classic,1998-12-25
845,1087,10887,classic,1996-10-06
846,1093,11011,classic,1997-01-20
847,1095,11023,gold,1997-07-28
848,1098,11063,classic,1998-09-01
849,1100,11101,junior,1996-04-10
850,1102,11183,classic,1998-04-25
851,1103,11189,classic,1995-11-04
852,1105,11237,classic,1997-12-13
853,1111,11288,classic,1996-12-31
854,1115,11375,junior,1997-10-03
855,1118,11393,classic,1997-01-02
856,1134,11742,classic,1996-05-31
857,1137,11771,gold,1998-12-01
858,1138,11825,classic,1997-06-29
859,1139,11836,junior,1996-03-26
860,1150,12020,classic,1998-08-25
861,1154,12070,classic,1998-09-05
862,1155,12088,classic,1998-08-01
863,1164,12269,classic,1996-08-12
864,1165,12291,classic,1998-11-08
865,1167,12335,classic,1998-07-18
866,1169,12354,classic,1998-11-30
867,1173,12442,classic,1997-05-08
868,1175,12494,classic,1998-11-24
869,1176,12502,gold,1996-07-03
870,1177,12535,gold,1998-12-06
871,1178,12542,classic,1997-06-19
872,1187,12635,gold,1996-07-17
873,1188,12678,classic,1998-09-19
874,1189,12683,classic,1998-03-17
875,1192,12736,classic,1998-07-02
876,1193,12743,classic,1998-10-01
877,1194,12781,junior,1998-04-30
878,1195,12787,gold,1998-09-04
879,1196,12805,classic,1997-06-27
880,1199,12826,classic,1998-03-09
881,1203,12893,classic,1997-09-26
882,1216,13097,classic,1998-05-26
883,1217,13098,junior,1998-08-09
884,1220,13160,classic,1997-08-08
885,1223,13231,junior,1995-05-02
886,1225,13268,classic,1995-11-22
887,1230,13312,classic,1998-03-08
888,1233,13382,classic,1996-07-06
889,1234,13386,classic,1997-11-28
890,1239,13442,junior,1998-02-02
891,1247,13660,classic,1995-06-13
