,account_id,account_frequency,account_date,n_orders,total_debit,n_trans,trans_amount,latest_balance,card_type,card_issued,gender,birth_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,n_clients,loan_date,loan_amount,loan_duration,loan_payments,loan_status
721,759,monthly,1993-08-01,1.0,1952.0,392,557274,107633,,,M,1975-09-07,23,Cheb,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.7,2.66,102,2879.0,3198,1,,,,,
722,760,monthly,1997-05-24,3.0,5206.0,127,432026,31749,,,M,1961-09-27,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
723,761,monthly,1994-04-09,,,93,135619,69229,,,M,1939-11-28,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,1,,,,,
724,762,monthly,1995-10-18,1.0,3895.0,183,447447,14299,,,M,1920-10-29,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,1,,,,,
725,763,monthly,1995-02-23,1.0,7417.0,260,1184602,40756,,,M,1938-11-18,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
726,764,monthly,1993-01-08,1.0,2360.0,359,879895,21491,,,F,1921-01-19,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
727,765,monthly,1996-12-20,,,115,252250,53356,,,M,1975-05-03,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,1,,,,,
728,766,monthly,1996-04-21,1.0,7032.0,180,1357516,91545,,,M,1958-06-29,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813,1,,,,,
729,767,monthly,1995-03-26,4.0,4199.0,390,1834232,20408,,,F,1973-09-16,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.4,2.68,113,1822.0,2218,1,,,,,
730,768,monthly,1997-07-03,1.0,2814.0,89,203881,38732,,,M,1964-12-23,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261,1,,,,,
731,770,monthly,1996-09-24,,,121,538827,46974,,,F,1954-02-13,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.2,2.87,130,4289.0,4846,1,,,,,
732,771,monthly,1996-01-22,2.0,5030.0,225,1498413,35265,,,F,1972-08-16,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117,2,,,,,
733,772,monthly,1993-01-21,3.0,5165.0,558,3661859,72717,,,M,1953-07-12,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
734,773,monthly,1993-06-19,,,456,1883471,65644,,,M,1959-08-13,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,,,,,
735,774,monthly,1993-06-08,,,418,996536,64833,,,M,1981-01-22,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
736,775,monthly,1994-12-18,2.0,3607.0,320,2052018,85125,,,M,1974-10-26,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
737,776,monthly,1996-05-18,3.0,3483.0,233,1249727,90023,gold,1998-10-25,F,1951-10-10,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.5,4.12,102,2247.0,2103,1,,,,,
738,777,monthly,1997-12-28,1.0,6412.0,79,1255287,70547,,,M,1935-04-23,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.3,3.67,100,2985.0,2804,1,,,,,
739,778,monthly,1996-10-26,,,27,77800,37000,,,F,1959-08-25,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
740,779,monthly,1996-08-13,,,129,941125,33603,,,M,1968-06-07,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
741,780,monthly,1996-04-26,1.0,6220.0,178,1385307,51302,,,M,1947-09-27,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813,1,,,,,
742,781,monthly,1995-02-19,1.0,2054.0,222,276598,13526,,,F,1978-03-11,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.7,7.61,116,4650.0,4859,2,,,,,
743,782,monthly,1997-10-30,2.0,5566.0,77,719871,53232,,,F,1946-05-17,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668,2,,,,,
744,783,monthly,1997-09-08,1.0,3242.0,53,123108,26891,,,M,1931-11-14,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
745,784,monthly,1994-04-19,4.0,3510.0,476,2815509,21656,,,F,1944-08-07,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.2,3.47,106,2595.0,2305,1,,,,,
746,785,weekly,1997-08-09,2.0,11730.8,108,944040,45646,,,M,1952-08-03,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,1,1998-02-12,156096.0,36.0,4336.0,C
747,786,monthly,1995-08-12,2.0,5318.0,270,1480497,66241,,,M,1960-08-11,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,1,,,,,
748,787,monthly,1993-11-14,2.0,4517.0,372,932547,27392,,,M,1935-10-05,10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.5,0.54,141,3810.0,4316,1,,,,,
749,788,monthly,1996-06-25,1.0,3096.0,141,305126,30562,,,F,1931-09-02,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,2,,,,,
750,789,monthly,1995-02-06,3.0,5316.0,294,594484,20757,,,M,1970-12-18,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743,2,1995-11-23,73056.0,48.0,1522.0,C
751,790,monthly,1993-05-11,1.0,4335.8,406,3769526,29046,classic,1995-05-01,M,1951-08-06,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,1994-07-24,208128.0,48.0,4336.0,B
752,791,monthly,1995-12-14,1.0,3054.0,162,331048,24633,,,M,1924-04-22,49,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.8,2.26,155,1660.0,2123,1,,,,,
753,792,monthly,1997-08-13,3.0,2399.0,104,139761,18948,,,M,1976-07-27,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813,1,,,,,
754,793,monthly,1993-01-03,3.0,2267.0,497,484736,19396,,,F,1965-04-12,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,2,,,,,
755,794,monthly,1997-04-24,2.0,2014.0,92,106747,18042,,,F,1951-05-01,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460,1,,,,,
756,795,monthly,1995-01-27,1.0,2976.0,266,652127,75695,,,M,1937-10-17,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.4,2.68,113,1822.0,2218,1,,,,,
757,796,monthly,1997-02-13,,,57,374100,23073,classic,1998-06-17,F,1942-10-20,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
758,797,monthly,1996-11-20,,,130,1856854,39014,,,M,1970-01-28,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,1,,,,,
759,798,monthly,1996-04-22,1.0,2182.0,182,276063,49593,,,M,1966-10-21,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
760,799,monthly,1993-10-10,,,39,71550,9348,,,F,1941-12-23,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,2,,,,,
761,800,monthly,1997-12-06,2.0,2502.0,70,138156,32143,,,F,1962-09-12,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529,1,,,,,
762,801,monthly,1997-07-23,2.0,3332.0,95,234254,15840,,,F,1957-04-13,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
763,802,monthly,1994-12-20,1.0,1876.0,240,484727,44912,,,F,1931-10-04,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879,1,,,,,
764,803,monthly,1995-09-09,,,206,2584437,12799,,,M,1966-02-19,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,1,,,,,
765,804,monthly,1996-02-06,2.0,3024.0,214,617088,71506,classic,1998-05-25,F,1966-12-17,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
766,805,monthly,1996-12-02,1.0,1424.4,123,860935,9330,,,F,1953-10-21,10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.5,0.54,141,3810.0,4316,1,,,,,
767,806,monthly,1996-10-29,1.0,2298.0,112,163906,19212,,,F,1972-12-01,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,2,,,,,
768,807,weekly,1995-06-13,1.0,12579.0,251,2084297,31335,junior,1996-12-23,M,1979-06-20,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,1,,,,,
769,808,monthly,1995-06-13,1.0,4492.0,286,1387906,29997,,,M,1957-02-17,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,1,1996-04-11,215616.0,48.0,4492.0,D
770,809,monthly,1995-12-20,1.0,8298.0,192,1499462,39707,,,M,1957-03-29,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,1,,,,,
771,810,monthly,1995-11-11,1.0,2076.0,185,340481,30465,,,F,1919-01-01,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,2,,,,,
772,811,weekly,1997-08-01,1.0,5171.7,90,1100801,56082,,,F,1970-10-06,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.4,1.71,135,6604.0,6295,2,,,,,
773,812,monthly,1996-08-30,1.0,9128.0,157,1184547,34853,,,F,1959-07-12,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
774,813,monthly,1993-02-10,1.0,2025.7,392,1922382,35296,,,F,1955-11-19,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,1994-05-11,24312.0,12.0,2026.0,A
775,814,monthly,1996-10-06,2.0,2230.0,156,352713,17806,,,F,1926-05-10,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,1,,,,,
776,815,monthly,1993-08-25,1.0,1949.0,312,367062,16213,,,F,1968-06-09,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,2,,,,,
777,816,monthly,1993-08-05,2.0,6539.7,493,5550776,100958,,,M,1961-09-30,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,1,1995-01-08,48624.0,24.0,2026.0,A
778,817,monthly,1994-03-18,2.0,13580.0,361,2622729,43156,,,M,1960-06-28,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,1,1995-02-17,538500.0,60.0,8975.0,C
779,819,monthly,1995-04-22,,,214,1809300,61705,classic,1996-09-18,M,1949-07-03,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,2,,,,,
780,820,monthly,1995-11-04,2.0,5577.0,244,1004995,65213,,,M,1955-05-16,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
781,821,monthly,1996-03-16,2.0,2087.0,221,298005,21171,,,M,1952-05-20,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,1,,,,,
782,822,monthly,1996-10-04,1.0,1784.0,125,347800,30772,,,F,1939-10-01,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,2,,,,,
783,823,monthly,1997-09-19,3.0,2189.0,72,77485,25009,,,M,1961-12-24,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595,1,,,,,
784,824,monthly,1996-03-21,1.0,5406.0,180,618035,54068,,,M,1941-06-27,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,1,,,,,
785,825,monthly,1996-03-06,2.0,13658.0,218,1206351,41748,classic,1998-11-29,M,1948-05-21,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,1,1997-02-02,53076.0,12.0,4423.0,A
786,826,monthly,1996-10-05,3.0,5585.0,179,506242,24420,,,F,1969-10-31,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,1,,,,,
787,827,monthly,1996-02-23,1.0,2260.0,151,208740,28959,,,M,1971-04-27,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,2,,,,,
788,828,monthly,1997-02-12,1.0,8852.0,121,656581,20293,junior,1998-02-04,F,1980-06-26,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
789,829,monthly,1996-11-10,1.0,2120.0,106,139981,31318,,,M,1950-11-11,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.2,3.47,106,2595.0,2305,2,,,,,
790,830,monthly,1993-02-08,,,318,2505469,57616,classic,1995-03-05,F,1966-09-01,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,2,,,,,
791,831,monthly,1996-09-18,1.0,2291.0,115,173302,17345,,,M,1947-04-14,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,1,,,,,
792,832,monthly,1996-05-24,1.0,2135.0,142,183873,19232,,,F,1944-03-08,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668,1,,,,,
793,833,monthly,1996-08-29,1.0,3462.0,123,291667,28327,,,F,1937-10-31,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,1,,,,,
794,834,monthly,1997-05-23,1.0,2473.0,86,154918,18971,,,M,1957-09-25,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813,1,,,,,
795,836,monthly,1996-07-28,2.0,3059.0,164,436832,48412,,,F,1942-06-28,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,2,,,,,
796,837,monthly,1993-09-18,1.0,9250.0,366,2915891,50873,,,M,1956-07-06,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120,1,,,,,
797,838,monthly,1993-10-23,,,68,124028,4227,,,F,1962-04-27,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.7,7.61,116,4650.0,4859,2,,,,,
798,839,monthly,1995-01-17,1.0,4254.0,254,2466118,67232,classic,1995-09-15,M,1939-07-13,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
799,840,monthly,1996-03-12,1.0,4606.0,186,1759610,62764,,,F,1966-02-13,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,2,,,,,
800,841,monthly,1993-11-04,1.0,2109.0,331,689989,42834,,,M,1931-02-08,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
801,842,monthly,1995-04-07,1.0,3278.0,205,431726,17884,,,M,1934-03-13,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906,2,,,,,
802,843,monthly,1997-04-09,3.0,1980.0,137,147278,16627,,,F,1943-02-12,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120,1,,,,,
803,844,monthly,1994-04-28,2.0,14171.0,375,5667838,61749,classic,1995-01-24,M,1945-02-28,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,1,,,,,
804,845,monthly,1997-12-27,1.0,9651.0,56,579282,73259,classic,1998-08-10,F,1946-12-22,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.4,1.71,135,6604.0,6295,1,,,,,
805,846,monthly,1996-03-09,1.0,7795.5,229,2848825,114007,classic,1998-04-16,F,1977-05-10,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,1,1996-07-28,187104.0,24.0,7796.0,A
806,847,monthly,1996-07-21,,,147,428598,55787,,,M,1977-08-05,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,1,,,,,
807,848,monthly,1996-06-16,3.0,6015.0,212,607533,55070,,,M,1940-07-23,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,1,,,,,
808,849,monthly,1996-01-01,,,136,1046093,-405,,,M,1938-12-28,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
809,850,monthly,1997-03-07,1.0,14811.0,115,1342901,48782,,,M,1956-03-29,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.4,2.68,113,1822.0,2218,1,,,,,
810,851,monthly,1994-09-23,3.0,6225.0,358,3371308,4473,,,M,1964-07-08,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879,1,,,,,
811,852,monthly,1997-10-23,2.0,2082.0,58,72879,18097,,,M,1979-08-12,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651,1,,,,,
812,853,monthly,1996-03-20,2.0,6051.0,215,1181700,26552,classic,1997-03-05,F,1940-11-04,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
813,854,monthly,1993-09-21,4.0,6147.0,511,1414497,44584,,,F,1954-03-16,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,1995-05-30,87216.0,48.0,1817.0,C
814,855,monthly,1994-03-28,1.0,6608.0,332,1774412,71758,classic,1998-12-14,M,1947-10-11,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
815,856,monthly,1996-03-03,4.0,5737.0,261,931946,42626,classic,1998-06-21,F,1968-12-11,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,1,,,,,
816,857,monthly,1993-09-16,1.0,3019.0,283,560345,21742,,,F,1938-10-30,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
817,858,monthly,1996-07-13,1.0,5456.0,162,1416399,58809,,,F,1974-11-11,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,1,,,,,
818,859,monthly,1997-08-26,4.0,3930.0,117,368041,40625,,,F,1971-03-28,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,2,,,,,
819,860,monthly,1993-03-19,1.0,8071.0,397,1993210,29496,,,F,1965-11-01,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
820,861,monthly,1993-09-13,2.0,9583.0,413,2506398,19044,,,F,1961-09-23,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,1,,,,,
821,862,weekly,1993-02-02,1.0,3122.0,446,6774351,103054,junior,1994-12-04,F,1980-10-11,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,1,,,,,
822,863,monthly,1993-05-16,2.0,10520.3,491,5897580,55734,classic,1997-01-03,M,1960-06-17,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
823,864,monthly,1997-07-08,1.0,3699.0,86,227893,30162,,,M,1961-07-05,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,1,,,,,
824,865,monthly,1996-03-18,2.0,2294.0,166,212844,21088,,,F,1966-09-25,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.3,2.62,119,1003.0,1181,2,,,,,
825,866,monthly,1993-01-10,4.0,4851.0,628,1977972,60554,,,F,1971-09-13,9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.3,3.97,149,2987.0,2487,1,,,,,
826,867,monthly,1997-11-09,3.0,12943.0,83,747202,22615,,,F,1947-12-24,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,1,,,,,
827,868,monthly,1997-05-26,2.0,6358.0,99,394388,22712,,,M,1975-08-24,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
828,869,monthly,1996-07-15,,,16,41300,10300,,,F,1963-07-11,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
829,870,monthly,1995-03-27,1.0,4562.0,240,709758,21328,,,F,1974-10-03,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,1,,,,,
830,871,monthly,1996-09-02,1.0,5168.0,145,1516451,18623,classic,1998-04-25,M,1942-11-11,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
831,872,monthly,1997-01-18,1.0,2762.0,123,302423,46337,,,F,1971-07-01,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.6,1.29,110,1029.0,1127,1,,,,,
832,873,monthly,1997-04-26,4.0,7604.0,150,355603,13353,,,F,1971-08-26,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,1,1998-02-24,178500.0,60.0,2975.0,C
833,874,weekly,1996-03-23,3.0,9720.3,205,1204573,42024,,,M,1964-03-11,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,2,,,,,
834,875,monthly,1995-05-17,1.0,3837.0,205,536518,43025,,,M,1924-08-20,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460,1,,,,,
835,876,monthly,1997-10-26,1.0,3796.0,56,165585,11371,,,M,1919-05-17,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892,1,,,,,
836,877,monthly,1996-05-29,2.0,3628.0,192,440715,42870,classic,1998-11-19,M,1963-06-19,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
837,878,monthly,1996-06-29,1.0,3943.0,174,1496447,61022,classic,1998-11-21,M,1939-02-21,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,1,,,,,
838,879,monthly,1997-06-04,1.0,2094.0,79,106292,15984,,,F,1975-08-01,9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.3,3.97,149,2987.0,2487,1,,,,,
839,880,monthly,1996-12-08,2.0,6530.1,129,908543,35210,classic,1998-08-10,M,1960-06-03,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261,2,,,,,
840,882,monthly,1993-03-06,1.0,3306.0,386,1724129,84776,classic,1998-09-29,M,1975-01-08,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,2,,,,,
841,883,monthly,1993-12-17,3.0,8406.0,436,2143675,31234,,,F,1951-02-03,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
842,884,monthly,1993-12-07,1.0,2259.0,299,404035,20748,,,M,1957-11-26,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,1,,,,,
843,885,monthly,1993-06-25,2.0,3292.0,444,2959780,88361,classic,1994-08-19,M,1940-10-18,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
844,886,monthly,1993-06-23,1.0,9034.0,385,2625536,93910,gold,1997-08-31,M,1952-05-14,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
845,887,monthly,1993-05-05,1.0,3009.0,304,607122,17146,,,F,1926-10-20,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,1,,,,,
846,888,monthly,1996-10-28,1.0,1592.0,128,304120,19431,,,F,1938-02-21,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,2,,,,,
847,889,monthly,1997-12-22,2.0,3257.0,49,96436,25157,,,M,1925-01-25,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,1,,,,,
848,890,monthly,1993-02-05,1.0,3136.0,380,1127723,34653,,,F,1966-12-08,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,1,,,,,
849,891,monthly,1996-05-23,1.0,1784.0,148,335593,44556,,,M,1924-04-10,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190,2,,,,,
850,892,monthly,1993-03-20,2.0,2915.0,416,814792,53800,,,F,1934-06-04,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,1,,,,,
